City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Washington D.C.,uberPOOL,COMPLETED,,,,,,,,,,1.7,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,1.97,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,1.76,,USD
Washington D.C.,uberX,COMPLETED,,,,,,,,,,1.69,,USD
Paris,POOL,COMPLETED,,,,,,,,,,17.34,,EUR
Paris,POOL,COMPLETED,,,,,,,,,,1.59,,EUR
Paris,POOL,COMPLETED,,,,,,,,,,2.17,,EUR
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,5.48,,USD
Washington D.C.,uberX,COMPLETED,,,,,,,,,,1.36,,USD
Washington D.C.,uberPOOL,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,uberPOOL,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,uberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,2.73,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,0.97,,USD
Washington D.C.,uberPOOL,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,2.77,,USD
Washington D.C.,uberX,COMPLETED,,,,,,,,,,1.68,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,7.81,,USD
Washington D.C.,uberPOOL,COMPLETED,,,,,,,,,,1.53,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,2.01,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,3.67,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,2.5,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,1.71,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,3.73,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,5.43,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,5.07,,USD
Washington D.C.,uberPOOL: MATCHED,COMPLETED,,,,,,,,,,1.21,,USD
Washington D.C.,uberPOOL,COMPLETED,,,,,,,,,,2.83,,USD
